model_id,model_name,family,representative_role,selected_for_visualization,grouping_match,layer_k,stratigraphic_coordinate,layer_mean_z,facies,area_proportion,facies_area,active_area,active_cells
Sim634,Sim634,F04,,False,True,5,0.25,-89.25253740919258,231,0.576103213532072,33874982.2775062,58800196.70402405,648
Sim634,Sim634,F04,,False,True,5,0.25,-89.25253740919258,232,0.0,0.0,58800196.70402405,648
Sim634,Sim634,F04,,False,True,5,0.25,-89.25253740919258,241,0.1752399308202498,10304142.402630258,58800196.70402405,648
Sim634,Sim634,F04,,False,True,6,0.3,-84.23927301558227,11,0.0,0.0,58150466.3628016,648
Sim634,Sim634,F04,,False,True,6,0.3,-84.23927301558227,12,0.0,0.0,58150466.3628016,648
Sim634,Sim634,F04,,False,True,6,0.3,-84.23927301558227,13,0.227837231698922,13248841.278102005,58150466.3628016,648
Sim634,Sim634,F04,,False,True,6,0.3,-84.23927301558227,14,0.0958395013075712,5573111.697013603,58150466.3628016,648
Sim634,Sim634,F04,,False,True,6,0.3,-84.23927301558227,15,0.0,0.0,58150466.3628016,648
Sim634,Sim634,F04,,False,True,6,0.3,-84.23927301558227,16,0.0,0.0,58150466.3628016,648
Sim634,Sim634,F04,,False,True,6,0.3,-84.23927301558227,21,0.002030469041157,118072.72167851096,58150466.3628016,648
Sim634,Sim634,F04,,False,True,6,0.3,-84.23927301558227,22,0.0,0.0,58150466.3628016,648
Sim634,Sim634,F04,,False,True,6,0.3,-84.23927301558227,23,0.1240431330599539,7213166.036539376,58150466.3628016,648
Sim634,Sim634,F04,,False,True,6,0.3,-84.23927301558227,24,0.0,0.0,58150466.3628016,648
Sim634,Sim634,F04,,False,True,6,0.3,-84.23927301558227,25,0.0,0.0,58150466.3628016,648
Sim634,Sim634,F04,,False,True,6,0.3,-84.23927301558227,26,0.0,0.0,58150466.3628016,648
Sim634,Sim634,F04,,False,True,6,0.3,-84.23927301558227,111,0.0,0.0,58150466.3628016,648
Sim634,Sim634,F04,,False,True,6,0.3,-84.23927301558227,121,0.0,0.0,58150466.3628016,648
Sim634,Sim634,F04,,False,True,6,0.3,-84.23927301558227,131,0.0317293413169818,1845075.994967004,58150466.3628016,648
Sim634,Sim634,F04,,False,True,6,0.3,-84.23927301558227,161,0.0,0.0,58150466.3628016,648
Sim634,Sim634,F04,,False,True,6,0.3,-84.23927301558227,231,0.3690920190601599,21462873.03913636,58150466.3628016,648
Sim634,Sim634,F04,,False,True,6,0.3,-84.23927301558227,232,0.0,0.0,58150466.3628016,648
Sim634,Sim634,F04,,False,True,6,0.3,-84.23927301558227,241,0.149428304515254,8689325.595364753,58150466.3628016,648
Sim634,Sim634,F04,,False,True,7,0.35,-78.45284887574365,11,0.0,0.0,58250907.57006503,648
Sim634,Sim634,F04,,False,True,7,0.35,-78.45284887574365,12,0.0,0.0,58250907.57006503,648
Sim634,Sim634,F04,,False,True,7,0.35,-78.45284887574365,13,0.1098239825694623,6397346.657630185,58250907.57006503,648
Sim634,Sim634,F04,,False,True,7,0.35,-78.45284887574365,14,0.1461938196907058,8515922.67811806,58250907.57006503,648
Sim634,Sim634,F04,,False,True,7,0.35,-78.45284887574365,15,0.0,0.0,58250907.57006503,648
Sim634,Sim634,F04,,False,True,7,0.35,-78.45284887574365,16,0.0,0.0,58250907.57006503,648
Sim634,Sim634,F04,,False,True,7,0.35,-78.45284887574365,21,0.0,0.0,58250907.57006503,648
Sim634,Sim634,F04,,False,True,7,0.35,-78.45284887574365,22,0.0,0.0,58250907.57006503,648
Sim634,Sim634,F04,,False,True,7,0.35,-78.45284887574365,23,0.0482360822169558,2809795.566761955,58250907.57006503,648
Sim634,Sim634,F04,,False,True,7,0.35,-78.45284887574365,24,0.353975943168252,20619419.94752044,58250907.57006503,648
Sim634,Sim634,F04,,False,True,7,0.35,-78.45284887574365,25,0.0,0.0,58250907.57006503,648
Sim634,Sim634,F04,,False,True,7,0.35,-78.45284887574365,26,0.0154935982110919,902516.157322044,58250907.57006503,648
Sim634,Sim634,F04,,False,True,7,0.35,-78.45284887574365,111,0.0,0.0,58250907.57006503,648
Sim634,Sim634,F04,,False,True,7,0.35,-78.45284887574365,121,0.0,0.0,58250907.57006503,648
